sanction_year,TOT_LEN,CCTOT_LEN,TOT_AMT,CCTOT_AMT,length_completion_rate,spend_realization_rate
Ahmednagar,14545.48,11107.824,616346.88,332560.21,76.36615635922638,53.95666316993444
Akola,6257.6,5446.39,236027.19999999998,159988.72,87.0364037330606,67.78401811316662
Amrawati,6706.04,5559.322,275077.36,142499.66,82.90022129304329,51.803485390437075
Aurangabad,7685.3279999999995,6284.413,341628.72,180045.03,81.77156524744292,52.701959601054625
Beed,9442.16,7741.952,350579.44,184572.68,81.99344217848459,52.64789058936257
Bhandara,5739.76,4832.222,197077.36,107220.88,84.18857234448826,54.405478133053954
Buldhana,5689.76,5031.99,194935.44,117309.03,88.43940693456314,60.17840060278418
Chandrapur,8302.608,6539.779,491268.0,219441.39,78.76776791099857,44.668366349935276
Dhule,7759.44,6565.82,373877.68,243919.28,84.61718886929984,65.24039627078034
Gadchiroli,15391.488,9640.886,1132514.0,453297.93,62.63777745205662,40.02581248443728
Gondia,9011.296,7696.14,305387.27999999997,174258.53,85.40547330816788,57.06148926700549
Hingoli,5065.2,4386.16,166511.2,102247.46,86.59401405670062,61.40575528853315
Jalgaon,8804.0,7330.19,335277.12,191265.78,83.2597682871422,57.04707198630196
Jalna,8137.4,7139.911,345583.2,207808.7,87.74192002359477,60.13275529597504
Kolhapur,6813.8,5416.278,280953.2,165452.21,79.48982946373536,58.889597982866896
Latur,6837.08,5701.666,339650.32,195400.67,83.39329070304868,57.52995315888412
Nagpur,7738.84,6146.672,356689.36,163405.59,79.4262706038631,45.81173657661109
Nanded,7728.48,5922.907,326708.24,170690.13,76.63741123739727,52.24543158140119
Nandurbar,11100.68,9272.716,560737.12,456024.51,83.53286465333656,81.32590009379084
Nashik,14268.776,10249.32,618687.04,324366.75,71.8304078780128,52.42824385007321
Osmanabad,5606.08,4367.467000000001,281408.64,139784.3,77.90589859581027,49.6730661858854
Palghar,4340.08,3329.635,224999.44,110921.57,76.71828629887007,49.29859825428899
Parbhani,5106.72,4034.426,221128.72,128013.15,79.00229501519566,57.890784155038745
Pune,15005.24,12513.862000000001,579447.6,357715.57,83.39661344970158,61.733894488474895
Raigad,3775.592,2975.232,176364.48,108743.73000000001,78.80173493322371,61.658521035528246
Ratnagiri,6479.592,4365.317,343207.52,152163.31,67.37024491665525,44.33565733058529
Sangali,7588.584,6103.64,265674.0,144482.30000000002,80.43186976648082,54.38330435044454
Satara,9922.56,7451.984,386969.04,177234.57,75.10142543859651,45.80071056847339
Sindhudurg,5782.400000000001,4463.634,290284.24,151285.96,77.19344908688434,52.116491064068796
Solapur,13429.92,11403.435,489523.68,318313.68,84.91066960934987,65.0251852984926
Thane,1883.032,1243.096,90137.12000000001,39372.29,66.01565985070886,43.6804393129046
Wardha,8984.208,8243.044,303028.24,9166.63,91.750369092078,3.0250084942578286
Washim,4984.52,4278.64,179708.72,96768.42,85.83855616990202,53.84737034463325
Yavatmal,9895.52,8547.724,407874.95999999996,507311.18,86.37973547625592,124.37909402430589
